2  23.58 -5.10 -76.45 -43.96
3  22.88 11.27 -20.64 8.42
4  21.74 12.64 29.89 58.36
5  18.25 46.43 82.23 116.02
6  18.18 -4.32 -9.63 3.77
7  24.96 8.73 37.97 48.53
8  24.14 11.14 83.99 92.36
NAN 26.15 17.78 142.14 136.70
9  9.20 -11.18 79.30 77.71
10 27.38 64.32 115.51 109.82
11 27.15 7.75 -26.80 -3.68
12 21.78 19.88 8.67 40.99
14 21.32 60.15 79.72 87.88
13 26.73 8.13 2.09 11.30
16 31.01 37.02 46.43 54.05
78 -0.03 -15.78 -251.92 -247.19
72 38.13 13.55 -71.55 -64.31
86 66.86 43.43 -29.48 -38.06
89 93.84 41.69 21.06 5.74
21 92.88 44.45 -208.04 -189.20
27 76.34 82.83 -221.65 -197.37
29 22.42 22.23 -132.22 -105.00
30 31.22 23.05 -138.16 -98.22
33 76.75 61.20 -133.22 -120.50
34 94.97 75.97 -164.50 -126.27
32 72.24 36.90 -162.03 -143.48
36 169.09 155.50 -426.72 -387.87
39 81.10 53.60 -337.92 -301.95
NAN -10.50 2.08 -247.61 -250.83
55 73.23 66.89 -22.02 14.07
56 50.17 52.66 53.47 89.39
68 52.82 101.51 31.65 75.61
57 11.74 48.84 123.34 163.16
NAN 74.60 23.61
69 57.55 68.40 55.52 79.93
NAN 83.08 68.91 93.70 119.66
70 125.66 59.89 88.43 89.22
45 152.54 127.24 -66.57 -16.83
49 63.56 20.09 -17.33 -22.99
48 68.78 34.40 41.87 33.12
48 52.10 79.93 39.10 27.76
